event_id,in_headline_23,in_top20_energy,farm,turbine_id,event_start,duration_h,E_mwh,event_family,families_all,event_lead_h,role,message,code,service_category,corpus_n_rows,frozen_family,ambiguous_slot,slot_alternatives,rationale_class,rationale_words,frozen_rationale,my_family,my_confidence,adjudication,my_reason,is_primary_stop_message,warning_n_rows_in_window,warning_lead_h,is_earliest_qualifying_warning,event_stop_code
3,True,False,kelmarsh,1,2016-04-25 16:24:06,24.137777777777778,19.049270022308427,brake_hydraulic,brake_hydraulic,37.73027777777778,stop,Feedback brake 1,2100.0,Mechanical error (23),21,brake_hydraulic,,,missing,0,,brake_hydraulic,high,agree,Mechanical brake position feedback.,True,,,False,2100.0
3,True,False,kelmarsh,1,2016-04-25 16:24:06,24.137777777777778,19.049270022308427,brake_hydraulic,brake_hydraulic,37.73027777777778,warning,Timeout brake closed,2125.0,Warnings (27),1345,brake_hydraulic,,,missing,0,,brake_hydraulic,high,agree,Brake failed to report closed in time.,False,2.0,37.73027777777778,True,
3,True,False,kelmarsh,1,2016-04-25 16:24:06,24.137777777777778,19.049270022308427,brake_hydraulic,brake_hydraulic,37.73027777777778,warning,Brake pads worn,2000.0,Warnings (27),57,brake_hydraulic,,,missing,0,,brake_hydraulic,high,agree,Names the brake.,False,1.0,2.962222222222222,False,
3,True,False,kelmarsh,1,2016-04-25 16:24:06,24.137777777777778,19.049270022308427,brake_hydraulic,brake_hydraulic,37.73027777777778,warning,Brake accumulator defect,5720.0,Warnings (27),1209,brake_hydraulic,,,thin,6,Hydraulic accumulator of the mechanical brake.,brake_hydraulic,high,agree,Hydraulic accumulator of the mechanical brake.,False,15.0,1.4452777777777779,False,
624,True,False,kelmarsh,4,2023-02-10 20:16:56,13.226944444444445,11.288738572093273,drivetrain,drivetrain,11.311111111111112,stop,Particle Gear Alarm 24h,1924.0,Mechanical error (23),19,drivetrain,,,thin,5,Gearbox oil-debris (metal particle) sensor.,drivetrain,high,agree,Gearbox oil-debris sensor.,True,,,False,1924.0
624,True,False,kelmarsh,4,2023-02-10 20:16:56,13.226944444444445,11.288738572093273,drivetrain,drivetrain,11.311111111111112,warning,Particle Gear Alarm 10min,1922.0,Warnings (27),115,drivetrain,,,documented,12,Gearbox oil-debris sensor - the 10-min companion of the 24h stop message.,drivetrain,high,agree,Gearbox oil-debris sensor.,False,3.0,11.311111111111112,True,
657,False,True,kelmarsh,4,2024-01-31 07:44:27,389.5577777777778,395.212302544104,converter,converter,,stop,Frequency converter error,3110.0,Generator and Converter errors (20),181,converter,,,missing,0,,converter,high,agree,Names the converter.,True,,,False,3110.0
659,True,False,kelmarsh,4,2024-03-18 05:44:02,8.05888888888889,3.354061290647562,pitch,pitch,31.622222222222224,stop,Pitch controller communication error,650.0,Pitch errors (18),99,pitch,,,documented,24,"A comms fault *inside* the pitch system; service category is 'Pitch errors (18)', so it is a pitch failure, not a SCADA/network comms failure.",pitch,moderate,agree,"A communication fault INSIDE the pitch system. 'comms' is a real alternative and the frozen rationale names it, but service category 'Pitch errors (18)' makes pitch the better call. NOTE: this entry documents an alternative family yet is not one of the nine sweep slots.",True,,,False,650.0
659,True,False,kelmarsh,4,2024-03-18 05:44:02,8.05888888888889,3.354061290647562,pitch,pitch,31.622222222222224,warning,Battery monitoring axis 2,712.0,Warnings (27),8,pitch,,,missing,0,,pitch,high,agree,Pitch back-up battery monitoring.,False,1.0,31.622222222222224,True,
734,False,True,kelmarsh,5,2021-10-30 12:16:07,99.43194444444444,95.13565374517064,converter,converter,,stop,Frequency converter error,3110.0,Generator and Converter errors (20),181,converter,,,missing,0,,converter,high,agree,Names the converter.,True,,,False,3110.0
743,False,True,kelmarsh,5,2021-11-26 13:44:40,94.23722222222223,116.45054315520555,electrical,electrical,,stop,UPS error,3410.0,Electrical error (24),3,electrical,,,missing,0,,electrical,high,agree,Uninterruptible supply; 34xx electrical block.,True,,,False,3410.0
893,True,False,kelmarsh,5,2023-03-16 17:30:09,14.223055555555556,6.783240376059906,anemometry,anemometry,70.37972222222223,stop,Anemometer defect,6530.0,Sensor error (21),813,anemometry,,,missing,0,,anemometry,high,agree,Names the anemometer outright.,True,,,False,6530.0
893,True,False,kelmarsh,5,2023-03-16 17:30:09,14.223055555555556,6.783240376059906,anemometry,anemometry,70.37972222222223,warning,4-20 mA vane 2,6635.0,Sensor error (21),1908,anemometry,,,missing,0,,anemometry,high,agree,Vane signal-loop fault.,False,13.0,70.37972222222223,True,
893,True,False,kelmarsh,5,2023-03-16 17:30:09,14.223055555555556,6.783240376059906,anemometry,anemometry,70.37972222222223,warning,4-20mA anemometer 2,6525.0,Warnings (27),1908,anemometry,,,missing,0,,anemometry,high,agree,Anemometer signal-loop fault.,False,13.0,70.37972222222223,True,
907,True,False,kelmarsh,5,2023-03-18 05:17:43,9.129444444444445,0.4333596715151191,anemometry,anemometry,48.04083333333333,stop,Anemometer defect,6530.0,Sensor error (21),813,anemometry,,,missing,0,,anemometry,high,agree,Names the anemometer outright.,True,,,False,6530.0
907,True,False,kelmarsh,5,2023-03-18 05:17:43,9.129444444444445,0.4333596715151191,anemometry,anemometry,48.04083333333333,warning,4-20 mA vane 2,6635.0,Sensor error (21),1908,anemometry,,,missing,0,,anemometry,high,agree,Vane signal-loop fault.,False,30.0,48.04083333333333,True,
907,True,False,kelmarsh,5,2023-03-18 05:17:43,9.129444444444445,0.4333596715151191,anemometry,anemometry,48.04083333333333,warning,4-20mA anemometer 2,6525.0,Warnings (27),1908,anemometry,,,missing,0,,anemometry,high,agree,Anemometer signal-loop fault.,False,30.0,48.04083333333333,True,
921,True,False,kelmarsh,5,2023-04-27 22:27:42,7.397777777777778,1.3966549402208885,anemometry,anemometry,65.06388888888888,stop,Anemometer defect,6530.0,Sensor error (21),813,anemometry,,,missing,0,,anemometry,high,agree,Names the anemometer outright.,True,,,False,6530.0
921,True,False,kelmarsh,5,2023-04-27 22:27:42,7.397777777777778,1.3966549402208885,anemometry,anemometry,65.06388888888888,warning,4-20 mA vane 2,6635.0,Sensor error (21),1908,anemometry,,,missing,0,,anemometry,high,agree,Vane signal-loop fault.,False,13.0,65.06388888888888,True,
921,True,False,kelmarsh,5,2023-04-27 22:27:42,7.397777777777778,1.3966549402208885,anemometry,anemometry,65.06388888888888,warning,4-20mA anemometer 2,6525.0,Warnings (27),1908,anemometry,,,missing,0,,anemometry,high,agree,Anemometer signal-loop fault.,False,13.0,65.06388888888888,True,
944,False,True,kelmarsh,5,2023-07-06 23:50:15,370.26722222222224,199.55244503478767,drivetrain,drivetrain,,stop,Overload fan oil cooler gear,1815.0,Electrical error (24),5,drivetrain,,,thin,6,As above - gearbox oil-cooler fan.,drivetrain,high,agree,Gearbox oil-cooler fan; the served component is the gearbox.,True,,,False,1815.0
1160,False,True,kelmarsh,6,2022-05-12 02:37:43,176.69861111111112,74.96893391148754,pitch,pitch,,stop,Pitch angle deviation,555.0,Pitch errors (18),10,pitch,,,missing,0,,pitch,high,agree,Names pitch.,True,,,False,555.0
1185,False,True,kelmarsh,6,2024-04-15 03:49:27,206.83194444444445,150.15274176037855,pitch,pitch,,stop,Pitch current asymmetry,550.0,Pitch errors (18),21,pitch,,,missing,0,,pitch,high,agree,Names pitch.,True,,,False,550.0
1344,False,True,penmanshiel,1,2019-11-02 19:41:08,122.09083333333334,103.75803700765971,converter,converter,,stop,Frequency converter error,3110.0,Generator and Converter errors (20),181,converter,,,missing,0,,converter,high,agree,Names the converter.,True,,,False,3110.0
1521,False,True,penmanshiel,2,2016-12-14 11:27:52,167.28944444444446,99.47032034600812,anemometry,anemometry,0.0008333333333333334,stop,Vane defect,6620.0,Sensor error (21),41,anemometry,,,missing,0,,anemometry,high,agree,Wind vane; same met-sensing chain as the anemometer.,True,,,False,6620.0
1521,False,True,penmanshiel,2,2016-12-14 11:27:52,167.28944444444446,99.47032034600812,anemometry,anemometry,0.0008333333333333334,warning,4-20 mA vane 2,6635.0,Sensor error (21),1908,anemometry,,,missing,0,,anemometry,high,agree,Vane signal-loop fault.,False,1.0,0.0008333333333333334,True,
1521,False,True,penmanshiel,2,2016-12-14 11:27:52,167.28944444444446,99.47032034600812,anemometry,anemometry,0.0008333333333333334,warning,4-20mA anemometer 2,6525.0,Warnings (27),1908,anemometry,,,missing,0,,anemometry,high,agree,Anemometer signal-loop fault.,False,1.0,0.0008333333333333334,True,
1582,False,True,penmanshiel,2,2018-02-27 22:21:45,136.77777777777777,161.25965670382482,safety,safety,,stop,Safety chain open,100.0,Safety chain (13),83,safety,,,missing,0,,safety,high,agree,Names the safety chain.,True,,,False,100.0
1942,False,True,penmanshiel,4,2016-12-20 04:33:23,59.70472222222222,82.29614677966514,drivetrain,drivetrain,,stop,Low gearbox oil pressure,1510.0,Mechanical error (23),59,drivetrain,,,missing,0,,drivetrain,high,agree,Gearbox lubrication.,True,,,False,1510.0
2178,True,True,penmanshiel,4,2023-06-23 14:08:57,283.2966666666667,210.14969229268868,control,control,20.788888888888888,stop,WEC shut down,55.0,WEC Shutdown (1),7,control,wec_shut_down,manual,documented,29,"AMBIGUOUS: generic supervisory shutdown, service category 'WEC Shutdown (1)', no component named. Assigned to `control` rather than `manual` because nothing in the message implies a human action. Alternative: manual.",never_match,moderate,DISAGREE,"A bare supervisory shutdown record: it names no component and no actor. The frozen map puts it in `control`, which then lets it same-match other content-free controller messages. I would put a message carrying zero component information into a family that cannot satisfy a same-component test at all. DISAGREE. Effect direction is the same as the sweep's wec_shut_down: control -> manual (a never-match family).",True,,,False,55.0
2178,True,True,penmanshiel,4,2023-06-23 14:08:57,283.2966666666667,210.14969229268868,control,control,20.788888888888888,warning,Parameter outside limits,7016.0,Warnings (27),25,control,,,thin,3,Controller parameter-set integrity.,never_match,moderate,DISAGREE,"DISAGREE on matchability, not on the family label: `control` is the right literal reading of a controller parameter-set integrity notice, but the message names no component, so allowing it to satisfy a same-component test against another content-free controller message is a match on the residual bucket, not on a component. NOT one of the nine sweep slots and its recorded rationale is four words ('Controller parameter-set integrity.'). This entry and the `WEC shut down` stop are the two halves of the single largest headline event.",False,2.0,20.788888888888888,True,
